Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateBankAccountForBakery,Chrome 74.0.3729.169,,2019-09-26 10:40:35,2019-09-26 10:45:06,4m - 31.395s,FAILED
,,,,,,
Test Cases/General/GetData/AddBakeryBankAccountGetData,Chrome 74.0.3729.169,,2019-09-26 10:40:36,2019-09-26 10:40:45,9.568s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:40:37,2019-09-26 10:40:37,0.006s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:40:37,2019-09-26 10:40:37,0.003s,PASSED
"Query = ""select * from base_bakery where BAKERY_CODE not in (select bakery_code from bakery_ach_data) and base_bakery.governorate_code=03""",Chrome 74.0.3729.169,,2019-09-26 10:40:37,2019-09-26 10:40:37,0.002s,PASSED
println(Query),Chrome 74.0.3729.169,,2019-09-26 10:40:37,2019-09-26 10:40:37,0.011s,PASSED
"dataBaseConnection.GetOracleQueryResult.conectsql(""bdistribute"", ""12345678"", Query, ""C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\BakeryDosenotHaveBankAccount.txt"")",Chrome 74.0.3729.169,,2019-09-26 10:40:37,2019-09-26 10:40:42,5.402s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidUserName.txt),Chrome 74.0.3729.169,,2019-09-26 10:40:42,2019-09-26 10:40:42,0.006s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 74.0.3729.169,,2019-09-26 10:40:42,2019-09-26 10:40:45,2.921s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidPassword.txt),Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.001s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.054s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\AccNumber.txt),Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.001s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(6, 1))",Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.179s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\AccName.txt),Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.001s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(7, 1))",Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.040s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\NIDNumber.txt),Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.001s,PASSED
"file.write(""28502063200094"")",Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:45,0.001s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/DeleteAllReqBySpecificNID,Chrome 74.0.3729.169,,2019-09-26 10:40:45,2019-09-26 10:40:46,0.737s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:40:46,2019-09-26 10:40:46,0.002s,PASSED
"Query = ""begin for ch in (select REQ_CODE from REQ_BAKERY_ACH_DATA  where ACC_OWNER_NID='28502063200094') loop  delete   REQ_ACTIVITY where REQ_CODE =ch.REQ_CODE ; delete from REQ_BAKERY_ACH_DATA where REQ_CODE = ch.REQ_CODE; delete from REQUESTS   where REQ_CODE = ch.REQ_CODE;commit; end loop; end;""",Chrome 74.0.3729.169,,2019-09-26 10:40:46,2019-09-26 10:40:46,0.004s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",Chrome 74.0.3729.169,,2019-09-26 10:40:46,2019-09-26 10:40:46,0.446s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,Chrome 74.0.3729.169,,2019-09-26 10:40:46,2019-09-26 10:41:15,29.202s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-09-26 10:40:46,2019-09-26 10:41:02,15.903s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 74.0.3729.169,,2019-09-26 10:41:02,2019-09-26 10:41:07,4.098s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-09-26 10:41:07,2019-09-26 10:41:08,1.175s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 74.0.3729.169,,2019-09-26 10:41:08,2019-09-26 10:41:08,0.673s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_/input__password""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 74.0.3729.169,,2019-09-26 10:41:08,2019-09-26 10:41:09,0.298s,PASSED
"click(findTestObject(""Object Repository/Login/Page_/span_""))",Chrome 74.0.3729.169,,2019-09-26 10:41:09,2019-09-26 10:41:15,6.595s,PASSED
waitForPageLoad(3),Chrome 74.0.3729.169,,2019-09-26 10:41:15,2019-09-26 10:41:15,0.180s,PASSED
,,,,,,
