Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditBankAccountForBakery - Copy,Chrome 77.0.3865.90,,2019-10-09 12:37:52,2019-10-09 12:38:21,28.992s,FAILED
,,,,,,
Test Cases/General/GetData/EditBakeryBankAccountGetData,Chrome 77.0.3865.90,,2019-10-09 12:37:53,2019-10-09 12:37:58,5.187s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:37:54,2019-10-09 12:37:54,0.002s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:37:54,2019-10-09 12:37:54,0.000s,PASSED
"Query = ""Select * from base_bakery b inner join bakery_ach_data ach on b.BAKERY_CODE = ach.bakery_code  where b.governorate_code=90 and b.BAKERY_CODE not in(select BAKERY_CODE from REQ_BAKERY_ACH_DATA rbb,Requests r where rbb.REQ_CODE = r.REQ_CODE and r.REQ_CHANNEL="" + ""'"" + ""BAKERY_ACC"" + ""' and r.REQ_STATUS = "" + ""'"" + ""FR_APRV"" + ""'and r.APP_TYPE=1) """,Chrome 77.0.3865.90,,2019-10-09 12:37:54,2019-10-09 12:37:54,0.000s,PASSED
println(Query),Chrome 77.0.3865.90,,2019-10-09 12:37:54,2019-10-09 12:37:54,0.015s,PASSED
"dataBaseConnection.GetOracleQueryResult.conectsql(""bdistribute"", ""12345678"", Query, ""C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BakeryHaveBankAccount.txt"")",Chrome 77.0.3865.90,,2019-10-09 12:37:54,2019-10-09 12:37:56,2.794s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ValidUserName.txt),Chrome 77.0.3865.90,,2019-10-09 12:37:56,2019-10-09 12:37:56,0.000s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 77.0.3865.90,,2019-10-09 12:37:56,2019-10-09 12:37:58,1.246s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ValidPassword.txt),Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.000s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.129s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccNumber.txt),Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.000s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(6, 1))",Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.195s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccName.txt),Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.000s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(7, 1))",Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.055s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\NIDNumber.txt),Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.000s,PASSED
"file.write(""28502063200094"")",Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.000s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/DeleteAllReqBySpecificNID,Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:59,0.691s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.000s,PASSED
"Query = ""begin for ch in (select REQ_CODE from REQ_BAKERY_ACH_DATA  where ACC_OWNER_NID='28502063200094') loop  delete   REQ_ACTIVITY where REQ_CODE =ch.REQ_CODE ; delete from REQ_BAKERY_ACH_DATA where REQ_CODE = ch.REQ_CODE; delete from REQUESTS   where REQ_CODE = ch.REQ_CODE;commit; end loop; end;""",Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:58,0.015s,PASSED
"dataBaseConnection.UpdateOracleQuery.conectsql(""bdistribute"", ""12345678"", Query)",Chrome 77.0.3865.90,,2019-10-09 12:37:58,2019-10-09 12:37:59,0.282s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,Chrome 77.0.3865.90,,2019-10-09 12:37:59,2019-10-09 12:38:12,13.045s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-09 12:37:59,2019-10-09 12:38:03,4.138s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 77.0.3865.90,,2019-10-09 12:38:03,2019-10-09 12:38:06,2.431s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,2019-10-09 12:38:06,2019-10-09 12:38:07,1.178s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 77.0.3865.90,,2019-10-09 12:38:07,2019-10-09 12:38:07,0.276s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_/input__password""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 77.0.3865.90,,2019-10-09 12:38:07,2019-10-09 12:38:07,0.307s,PASSED
"click(findTestObject(""Object Repository/Login/Page_/span_""))",Chrome 77.0.3865.90,,2019-10-09 12:38:07,2019-10-09 12:38:12,4.295s,PASSED
waitForPageLoad(3),Chrome 77.0.3865.90,,2019-10-09 12:38:12,2019-10-09 12:38:12,0.111s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenCreateModifyBankAccountForBakeryTabMethod,Chrome 77.0.3865.90,,2019-10-09 12:38:12,2019-10-09 12:38:14,2.465s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/manager/EditBakeryAccount.jsf"")",Chrome 77.0.3865.90,,2019-10-09 12:38:12,2019-10-09 12:38:14,2.125s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/SearchForBakeryCodeByCommodityEmployee-Edit,Chrome 77.0.3865.90,,2019-10-09 12:38:14,2019-10-09 12:38:15,0.770s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BakeryHaveBankAccount.txt),Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.001s,PASSED
BakeryHaveBankAccount = file.readLines(),Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.010s,PASSED
"BakeryHaveBankAccount = BakeryHaveBankAccount.replaceAll(""[^\d]"", """")",Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.006s,PASSED
"setText(findTestObject(""ReviewAddBankAcc/Page_/Review-BakeryCodeSearchField""), BakeryHaveBankAccount)",Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.216s,PASSED
"click(findTestObject(""ReviewAddBankAcc/Page_/Review-SearchButton""))",Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.124s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/EditValidBankAccData,Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:20,5.315s,FAILED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.003s,PASSED
FileText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:15,0.001s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span__ui-icon ui-icon-triangle-1-s ui-c_1-Select""))",Chrome 77.0.3865.90,,2019-10-09 12:38:15,2019-10-09 12:38:17,1.714s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/li_   -""))",Chrome 77.0.3865.90,,2019-10-09 12:38:17,2019-10-09 12:38:17,0.212s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/div__ui-SelectBranch""), CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-09 12:38:17,2019-10-09 12:38:19,1.647s,FAILED
"click(findTestObject(""BankAccDataField/Page_ (1)/li_ (DokkiBranch)""), CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-09 12:38:19,2019-10-09 12:38:19,0.153s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/div__ui-SelectBranch""))",Chrome 77.0.3865.90,,2019-10-09 12:38:19,2019-10-09 12:38:19,0.132s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccNumber.txt),Chrome 77.0.3865.90,,2019-10-09 12:38:19,2019-10-09 12:38:19,0.001s,PASSED
FileText = file.readLines(),Chrome 77.0.3865.90,,2019-10-09 12:38:19,2019-10-09 12:38:19,0.002s,PASSED
"setText(findTestObject(""CreateMdifyBankAcc/Page_/input_ _formj_idt37j_idt55""), toString().replaceAll(""\p{P}"", """"))",Chrome 77.0.3865.90,,2019-10-09 12:38:19,2019-10-09 12:38:20,0.285s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccName.txt),Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:20,0.000s,PASSED
"setText(findTestObject(""BankAccDataField/Page_ (1)/input_ _formj_idt37j_idt57""), toString().replaceAll(""\p{P}"", """"))",Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:20,0.262s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\NIDNumber.txt),Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:20,0.001s,PASSED
"setText(findTestObject(""BankAccDataField/Page_ (1)/input_   _formj_idt37j_idt59""), toString().replaceAll(""\p{P}"", """"))",Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:20,0.221s,PASSED
"setText(findTestObject(""BankAccDataField/Page_ (1)/textarea_ _formj_idt37j_idt61""), ""ملاحظات"", CONTINUE_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:20,0.182s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span__1""))",Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:20,0.124s,FAILED
,,,,,,
Test Cases/Reusable/Assertion/BankAccCreatingSuccessfulyAssertionMethod,Chrome 77.0.3865.90,,2019-10-09 12:38:20,2019-10-09 12:38:21,0.986s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span_   791""))",Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.594s,PASSED
"SuccessfulMessage = getText(findTestObject(""BankAccDataField/Page_ (1)/div_     791""))",Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.053s,PASSED
println(SuccessfulMessage),Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.000s,PASSED
"assert SuccessfulMessage.contains(""تم التنفيذ بنجاح"")",Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.015s,PASSED
"ReqCode = SuccessfulMessage.replaceAll(""[^\d]"", """")",Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.000s,PASSED
println(ReqCode),Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.000s,PASSED
file.write(ReqCode),Chrome 77.0.3865.90,,2019-10-09 12:38:21,2019-10-09 12:38:21,0.000s,PASSED
