Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditBankAccountForBakery,Chrome 77.0.3865.90,,2019-10-10 11:02:56,2019-10-10 11:04:11,1m - 15.209s,FAILED
,,,,,,
Test Cases/General/GetData/EditBakeryBankAccountGetData,Chrome 77.0.3865.90,,2019-10-10 11:02:56,2019-10-10 11:03:01,5.004s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:02:57,2019-10-10 11:02:57,0.003s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:02:57,2019-10-10 11:02:57,0.004s,PASSED
"Query = ""Select * from base_bakery b inner join bakery_ach_data ach on b.BAKERY_CODE = ach.bakery_code  where b.governorate_code=90 and b.BAKERY_CODE not in(select BAKERY_CODE from REQ_BAKERY_ACH_DATA rbb,Requests r where rbb.REQ_CODE = r.REQ_CODE and r.REQ_CHANNEL="" + ""'"" + ""BAKERY_ACC"" + ""' and r.REQ_STATUS = "" + ""'"" + ""FR_APRV"" + ""'and r.APP_TYPE=1) """,Chrome 77.0.3865.90,,2019-10-10 11:02:57,2019-10-10 11:02:57,0.004s,PASSED
println(Query),Chrome 77.0.3865.90,,2019-10-10 11:02:57,2019-10-10 11:02:57,0.007s,PASSED
"dataBaseConnection.GetOracleQueryResult.conectsql(""bdistribute"", ""12345678"", Query, ""C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\BakeryHaveBankAccount.txt"")",Chrome 77.0.3865.90,,2019-10-10 11:02:57,2019-10-10 11:03:00,2.491s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ValidUserName.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:00,2019-10-10 11:03:00,0.003s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(1, 1))",Chrome 77.0.3865.90,,2019-10-10 11:03:00,2019-10-10 11:03:01,1.320s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ValidPassword.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.004s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(2, 1))",Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.091s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccNumber.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.005s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(6, 1))",Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.247s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\AccName.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.001s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(7, 1))",Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.067s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\NIDNumber.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.001s,PASSED
"file.write(""28502063200094"")",Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:01,0.002s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/DeleteAllReqBySpecificNID,Chrome 77.0.3865.90,,2019-10-10 11:03:01,2019-10-10 11:03:02,0.865s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:02,2019-10-10 11:03:02,0.014s,PASSED
