Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IncreaseInsuranceBagsCouta,Chrome 77.0.3865.90,,2019-11-17 11:00:34,2019-11-17 11:04:13,3m - 38.839s,ERROR
,,,,,,
Test Cases/General/GetData/IncreaseInsuranceCoutaGetData,Chrome 77.0.3865.90,,2019-11-17 11:00:35,2019-11-17 11:00:40,5.273s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-11-17 11:00:36,2019-11-17 11:00:36,0.008s,PASSED
"Query = ""select * from base_bakery b inner join bakery_ach_data ach on b.BAKERY_CODE = ach.bakery_code where b.governorate_code=03 and b.status=0 and b.BAKERY_CODE not in( select BAKERY_CODE from REQ_BAKERY_ACH_DATA rbb,Requests r where rbb.REQ_CODE = r.REQ_CODE and r.REQ_CHANNEL="" + ""'"" + ""BAKERY_ACC"" + ""' and r.REQ_STATUS ="" + ""'"" + ""FR_APRV"" + ""' and r.APP_TYPE=1) """,Chrome 77.0.3865.90,,2019-11-17 11:00:36,2019-11-17 11:00:36,0.041s,PASSED
"dataBaseConnection.GetOracleQueryResult.conectsql(""SupplyCard"", ""smart999"", Query, ""GetBackeryCode.txt"")",Chrome 77.0.3865.90,,2019-11-17 11:00:36,2019-11-17 11:00:38,2.632s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidUserName.txt),Chrome 77.0.3865.90,,2019-11-17 11:00:38,2019-11-17 11:00:38,0.019s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(11, 1))",Chrome 77.0.3865.90,,2019-11-17 11:00:38,2019-11-17 11:00:40,1.461s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem\Cash\ValidPassword.txt),Chrome 77.0.3865.90,,2019-11-17 11:00:40,2019-11-17 11:00:40,0.003s,PASSED
"file.write(findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(12, 1))",Chrome 77.0.3865.90,,2019-11-17 11:00:40,2019-11-17 11:00:40,0.085s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenBakerySystemByDirectorateEmployeeMethod,Chrome 77.0.3865.90,,2019-11-17 11:00:40,2019-11-17 11:04:01,3m - 20.867s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-11-17 11:00:40,2019-11-17 11:00:48,7.798s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/login.jsf"")",Chrome 77.0.3865.90,,2019-11-17 11:00:48,2019-11-17 11:02:20,1m - 32.213s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,2019-11-17 11:02:20,2019-11-17 11:02:25,4.243s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_/input__username""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(11, 1))",Chrome 77.0.3865.90,,2019-11-17 11:02:25,2019-11-17 11:02:25,0.329s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_/input__password""), findTestData(""BakeryDataFileDirectorateAndCommodityEmployee"").getValue(12, 1))",Chrome 77.0.3865.90,,2019-11-17 11:02:25,2019-11-17 11:02:25,0.315s,PASSED
"click(findTestObject(""Object Repository/Login/Page_/span_""))",Chrome 77.0.3865.90,,2019-11-17 11:02:25,2019-11-17 11:04:01,1m - 35.348s,PASSED
waitForPageLoad(3),Chrome 77.0.3865.90,,2019-11-17 11:04:01,2019-11-17 11:04:01,0.128s,PASSED
,,,,,,
Test Cases/General/OpenMethods/OpenCreateIncreaseInsuranceQuotaTapMethod,Chrome 77.0.3865.90,,2019-11-17 11:04:01,2019-11-17 11:04:12,11.521s,PASSED
"navigateToUrl(""http://81.29.102.138:7001/bakeriessystem/manager/BakeryQuota.jsf"")",Chrome 77.0.3865.90,,2019-11-17 11:04:01,2019-11-17 11:04:12,11.207s,PASSED
,,,,,,
Test Cases/SpecificTab/IncreaseInsuranceBagsCouta/SearchForBakeryCodeByDirectorateEmployee,Chrome 77.0.3865.90,,2019-11-17 11:04:12,2019-11-17 11:04:13,0.371s,ERROR
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-11-17 11:04:13,2019-11-17 11:04:13,0.002s,PASSED
BackeryCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-11-17 11:04:13,2019-11-17 11:04:13,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\GetBackeryCode.txt),Chrome 77.0.3865.90,,2019-11-17 11:04:13,2019-11-17 11:04:13,0.001s,PASSED
BackeryCode = file.readLines(),Chrome 77.0.3865.90,,2019-11-17 11:04:13,2019-11-17 11:04:13,0.012s,ERROR
